,symbol,name,area,industry,fullname,enname,market,list_date,code,exchange
0,000001,平安银行,深圳,银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",主板,19910403,sz.000001,深
1,000002,万科A,深圳,全国地产,万科企业股份有限公司,"China Vanke Co.,Ltd.",主板,19910129,sz.000002,深
2,000004,国华网安,深圳,软件服务,深圳国华网安科技股份有限公司,"Shenzhen GuoHua Network Security Technology Co., Ltd.",主板,19910114,sz.000004,深
3,000005,ST星源,深圳,环境保护,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,主板,19901210,sz.000005,深
4,000006,深振业A,深圳,区域地产,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group) Co.,Ltd.",主板,19920427,sz.000006,深
5,000007,*ST全新,深圳,酒店餐饮,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd",主板,19920413,sz.000007,深
6,000008,神州高铁,北京,运输设备,神州高铁技术股份有限公司,"China High Speed Railway Technology Co., Ltd.",主板,19920507,sz.000008,深
7,000009,中国宝安,深圳,综合类,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",主板,19910625,sz.000009,深
8,000010,美丽生态,深圳,建筑工程,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",主板,19951027,sz.000010,深
9,000011,深物业A,深圳,区域地产,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,主板,19920330,sz.000011,深
10,000012,南玻A,深圳,玻璃,中国南玻集团股份有限公司,"CSG Holding Co.,Ltd.",主板,19920228,sz.000012,深
11,000014,沙河股份,深圳,全国地产,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd.",主板,19920602,sz.000014,深
12,000016,深康佳A,深圳,家用电器,康佳集团股份有限公司,"Konka Group Co.,Ltd",主板,19920327,sz.000016,深
13,000017,深中华A,深圳,文教休闲,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,主板,19920331,sz.000017,深
14,000019,深粮控股,深圳,其他商业,深圳市深粮控股股份有限公司,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",主板,19921012,sz.000019,深
15,000020,深华发A,深圳,元器件,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co.,Ltd.",主板,19920428,sz.000020,深
16,000021,深科技,深圳,IT设备,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",主板,19940202,sz.000021,深
